label,string,result,time,size
periodo naive, fill with period,726,0.0001243,1000
periodo smart, fill with period,726,9.59091e-06,1000
periodo naive, fill with period,803,0.000136,1064
periodo smart, fill with period,803,1.041e-05,1064
periodo naive, fill with period,183,3.47333e-05,1133
periodo smart, fill with period,183,1.008e-05,1133
periodo naive, fill with period,213,3.76333e-05,1207
periodo smart, fill with period,213,8.41667e-06,1207
periodo naive, fill with period,750,0.0001019,1285
periodo smart, fill with period,750,1.044e-05,1285
periodo naive, fill with period,927,0.0001294,1368
periodo smart, fill with period,927,1.12e-05,1368
periodo naive, fill with period,965,0.0001355,1457
periodo smart, fill with period,965,1.24667e-05,1457
periodo naive, fill with period,1212,0.0001707,1551
periodo smart, fill with period,1212,1.30375e-05,1551
periodo naive, fill with period,1135,0.0001616,1652
periodo smart, fill with period,1135,1.34125e-05,1652
periodo naive, fill with period,1131,0.0001648,1759
periodo smart, fill with period,1131,1.37625e-05,1759
periodo naive, fill with period,534,8.52e-05,1873
periodo smart, fill with period,534,1.35625e-05,1873
periodo naive, fill with period,164,3.01e-05,1994
periodo smart, fill with period,164,1.345e-05,1994
periodo naive, fill with period,528,8.2e-05,2123
periodo smart, fill with period,528,1.51429e-05,2123
periodo naive, fill with period,1563,0.0002312,2261
periodo smart, fill with period,1563,2.278e-05,2261
periodo naive, fill with period,900,0.0001472,2408
periodo smart, fill with period,900,1.76667e-05,2408
periodo naive, fill with period,1110,0.0001753,2564
periodo smart, fill with period,1110,1.95833e-05,2564
periodo naive, fill with period,1899,0.0003076,2730
periodo smart, fill with period,1899,2.26e-05,2730
periodo naive, fill with period,2324,0.0003742,2907
periodo smart, fill with period,2324,2.56e-05,2907
periodo naive, fill with period,2963,0.0004476,3095
periodo smart, fill with period,2963,2.9175e-05,3095
periodo naive, fill with period,2719,0.0004142,3295
periodo smart, fill with period,2719,2.95e-05,3295
periodo naive, fill with period,2285,0.0003882,3509
periodo smart, fill with period,2285,2.9575e-05,3509
periodo naive, fill with period,2326,0.0003954,3736
periodo smart, fill with period,2326,3.0625e-05,3736
periodo naive, fill with period,1539,0.0003205,3978
periodo smart, fill with period,1539,3.0525e-05,3978
periodo naive, fill with period,4023,0.0006133,4236
periodo smart, fill with period,4023,4.82333e-05,4236
periodo naive, fill with period,4340,0.0006844,4511
periodo smart, fill with period,4340,4.38667e-05,4511
periodo naive, fill with period,936,0.000188,4803
periodo smart, fill with period,936,3.48333e-05,4803
periodo naive, fill with period,3533,0.0006678,5114
periodo smart, fill with period,3533,4.44333e-05,5114
periodo naive, fill with period,5117,0.0008548,5446
periodo smart, fill with period,5117,5.305e-05,5446
periodo naive, fill with period,5421,0.0009113,5798
periodo smart, fill with period,5421,5.84e-05,5798
periodo naive, fill with period,2932,0.0005854,6174
periodo smart, fill with period,2932,5.22e-05,6174
periodo naive, fill with period,5493,0.0009923,6574
periodo smart, fill with period,5493,6.575e-05,6574
periodo naive, fill with period,356,0.0001056,7000
periodo smart, fill with period,356,5.16e-05,7000
periodo naive, fill with period,1377,0.0003531,7454
periodo smart, fill with period,1377,5.305e-05,7454
periodo naive, fill with period,7345,0.0015152,7937
periodo smart, fill with period,7345,8.16e-05,7937
periodo naive, fill with period,1118,0.0003181,8451
periodo smart, fill with period,1118,6.365e-05,8451
periodo naive, fill with period,4945,0.0014501,8998
periodo smart, fill with period,4945,7.835e-05,8998
periodo naive, fill with period,3029,0.0008454,9581
periodo smart, fill with period,3029,7.7e-05,9581
periodo naive, fill with period,1089,0.0003595,10202
periodo smart, fill with period,1089,7.055e-05,10202
periodo naive, fill with period,4581,0.0012387,10863
periodo smart, fill with period,4581,8.99e-05,10863
periodo naive, fill with period,7165,0.0019408,11567
periodo smart, fill with period,7165,0.0001081,11567
periodo naive, fill with period,3394,0.0010606,12316
periodo smart, fill with period,3394,0.0001123,12316
periodo naive, fill with period,11952,0.0033759,13114
periodo smart, fill with period,11952,0.0001548,13114
periodo naive, fill with period,7844,0.0023963,13964
periodo smart, fill with period,7844,0.0001445,13964
periodo naive, fill with period,1821,0.0007303,14868
periodo smart, fill with period,1821,0.0001067,14868
periodo naive, fill with period,3306,0.001333,15832
periodo smart, fill with period,3306,0.0001495,15832
periodo naive, fill with period,5380,0.0022542,16857
periodo smart, fill with period,5380,0.0001323,16857
periodo naive, fill with period,12563,0.0053116,17950
periodo smart, fill with period,12563,0.000204,17950
periodo naive, fill with period,1499,0.000716,19113
periodo smart, fill with period,1499,0.0001484,19113
periodo naive, fill with period,10607,0.0047812,20351
periodo smart, fill with period,10607,0.0002012,20351
periodo naive, fill with period,7526,0.0036096,21669
periodo smart, fill with period,7526,0.0001901,21669
periodo naive, fill with period,15131,0.0074368,23073
periodo smart, fill with period,15131,0.0002313,23073
periodo naive, fill with period,10502,0.0055291,24568
periodo smart, fill with period,10502,0.0002442,24568
periodo naive, fill with period,23282,0.0126909,26160
periodo smart, fill with period,23282,0.000296,26160
periodo naive, fill with period,3376,0.002055,27854
periodo smart, fill with period,3376,0.0002415,27854
periodo naive, fill with period,2796,0.0017781,29659
periodo smart, fill with period,2796,0.0002391,29659
periodo naive, fill with period,3245,0.0021421,31581
periodo smart, fill with period,3245,0.0002897,31581
periodo naive, fill with period,23004,0.0152023,33627
periodo smart, fill with period,23004,0.0003912,33627
periodo naive, fill with period,12003,0.0084522,35805
periodo smart, fill with period,12003,0.0003603,35805
periodo naive, fill with period,18195,0.0138144,38125
periodo smart, fill with period,18195,0.0004192,38125
periodo naive, fill with period,17837,0.0139324,40595
periodo smart, fill with period,17837,0.0004138,40595
periodo naive, fill with period,16177,0.0134414,43225
periodo smart, fill with period,16177,0.0004765,43225
periodo naive, fill with period,9022,0.0079353,46025
periodo smart, fill with period,9022,0.0004145,46025
periodo naive, fill with period,24530,0.0221485,49007
periodo smart, fill with period,24530,0.0005363,49007
periodo naive, fill with period,8145,0.0079373,52182
periodo smart, fill with period,8145,0.0005073,52182
periodo naive, fill with period,11290,0.0115314,55563
periodo smart, fill with period,11290,0.0005763,55563
periodo naive, fill with period,19968,0.0215286,59163
periodo smart, fill with period,19968,0.0006288,59163
periodo naive, fill with period,30131,0.0341081,62996
periodo smart, fill with period,30131,0.0006705,62996
periodo naive, fill with period,1440,0.0019656,67077
periodo smart, fill with period,1440,0.000565,67077
periodo naive, fill with period,7788,0.0099889,71422
periodo smart, fill with period,7788,0.000763,71422
periodo naive, fill with period,29720,0.0396907,76050
periodo smart, fill with period,29720,0.0022375,76050
periodo naive, fill with period,23940,0.0406777,80977
periodo smart, fill with period,23940,0.0007957,80977
periodo naive, fill with period,3530,0.0055408,86223
periodo smart, fill with period,3530,0.0007305,86223
periodo naive, fill with period,6021,0.0098053,91809
periodo smart, fill with period,6021,0.0007735,91809
periodo naive, fill with period,32038,0.0576477,97757
periodo smart, fill with period,32038,0.0009595,97757
