label,string,result,time,size
periodo naive, fill random,999,0.0008531,1000
periodo smart, fill random,999,2.61e-05,1000
periodo naive, fill with period,23,1.67333e-05,23
periodo smart, fill with period,23,2.76486e-06,23
periodo naive, fill random,1063,0.00167125,1064
periodo smart, fill random,1063,2.198e-05,1064
periodo naive, fill with period,2,1.54154e-07,2
periodo smart, fill with period,2,5.37433e-07,2
periodo naive, fill random,1133,0.0017089,1133
periodo smart, fill random,1133,2.23e-05,1133
periodo naive, fill with period,90,5.66333e-05,90
periodo smart, fill with period,90,3.33548e-06,90
periodo naive, fill random,1206,0.00170685,1207
periodo smart, fill random,1206,3.2875e-05,1207
periodo naive, fill with period,97,0.00048985,1207
periodo smart, fill with period,97,3.74667e-05,1207
periodo naive, fill random,1285,0.00653275,1285
periodo smart, fill random,1285,3.44889e-05,1285
periodo naive, fill with period,96,0.0003682,1285
periodo smart, fill with period,96,2.525e-05,1285
periodo naive, fill random,1368,0.0049389,1368
periodo smart, fill random,1368,3.3e-05,1368
periodo naive, fill with period,97,0.00036415,1368
periodo smart, fill with period,97,2.59e-05,1368
periodo naive, fill random,1455,0.0053097,1457
periodo smart, fill random,1455,3.50333e-05,1457
periodo naive, fill with period,49,3.14e-05,49
periodo smart, fill with period,49,2.13617e-06,49
periodo naive, fill random,1551,0.0050931,1551
periodo smart, fill random,1551,3.78167e-05,1551
periodo naive, fill with period,97,0.00044255,1551
periodo smart, fill with period,97,2.7375e-05,1551
periodo naive, fill random,1651,0.0057803,1652
periodo smart, fill random,1651,3.33667e-05,1652
periodo naive, fill with period,97,0.00034485,1652
periodo smart, fill with period,97,2.8075e-05,1652
periodo naive, fill random,1758,0.0053529,1759
periodo smart, fill random,1758,3.44333e-05,1759
periodo naive, fill with period,14,4.79426e-07,14
periodo smart, fill with period,14,8.96429e-07,14
periodo naive, fill random,1871,0.00603125,1873
periodo smart, fill random,1871,3.52e-05,1873
periodo naive, fill with period,97,0.0003151,1873
periodo smart, fill with period,97,2.97e-05,1873
periodo naive, fill random,1993,0.0101525,1994
periodo smart, fill random,1993,5.275e-05,1994
periodo naive, fill with period,97,0.00056765,1994
periodo smart, fill with period,97,5.4425e-05,1994
periodo naive, fill random,2122,0.0090154,2123
periodo smart, fill random,2122,3.96e-05,2123
periodo naive, fill with period,98,0.00035765,2123
periodo smart, fill with period,98,3.1425e-05,2123
periodo naive, fill random,2261,0.006574,2261
periodo smart, fill random,2261,8.88e-05,2261
periodo naive, fill with period,96,0.0010715,2261
periodo smart, fill with period,96,9.75333e-05,2261
periodo naive, fill random,2407,0.021746,2408
periodo smart, fill random,2407,7.7e-05,2408
periodo naive, fill with period,98,0.001035,2408
periodo smart, fill with period,98,5.245e-05,2408
periodo naive, fill random,2564,0.0183583,2564
periodo smart, fill random,2564,5.22667e-05,2564
periodo naive, fill with period,96,0.0005333,2564
periodo smart, fill with period,96,4.66e-05,2564
periodo naive, fill random,2730,0.0199811,2730
periodo smart, fill random,2730,5.815e-05,2730
periodo naive, fill with period,96,0.0005045,2730
periodo smart, fill with period,96,3.99667e-05,2730
periodo naive, fill random,2907,0.0167141,2907
periodo smart, fill random,2907,7.44e-05,2907
periodo naive, fill with period,5,2.78333e-07,5
periodo smart, fill with period,5,5.95833e-07,5
periodo naive, fill random,3095,0.0201933,3095
periodo smart, fill random,3095,7.11e-05,3095
periodo naive, fill with period,96,0.00063705,3095
periodo smart, fill with period,96,4.21667e-05,3095
periodo naive, fill random,3295,0.0158792,3295
periodo smart, fill random,3295,5.005e-05,3295
periodo naive, fill with period,96,0.00043425,3295
periodo smart, fill with period,96,4.33333e-05,3295
periodo naive, fill random,3509,0.015035,3509
periodo smart, fill random,3509,5.19e-05,3509
periodo naive, fill with period,96,0.0004084,3509
periodo smart, fill with period,96,4.46333e-05,3509
periodo naive, fill random,3735,0.0212106,3736
periodo smart, fill random,3735,7.32e-05,3736
periodo naive, fill with period,71,7.93333e-05,71
periodo smart, fill with period,71,3.22903e-06,71
periodo naive, fill random,3977,0.0378778,3978
periodo smart, fill random,3977,6.55e-05,3978
periodo naive, fill with period,96,0.00082425,3978
periodo smart, fill with period,96,6.05333e-05,3978
periodo naive, fill random,4234,0.0393174,4236
periodo smart, fill random,4234,0.0001134,4236
periodo naive, fill with period,97,0.0014257,4236
periodo smart, fill with period,97,0.000113467,4236
periodo naive, fill random,4509,0.0368987,4511
periodo smart, fill random,4509,9.5775e-05,4511
periodo naive, fill with period,96,0.00082305,4511
periodo smart, fill with period,96,0.000117333,4511
periodo naive, fill random,4803,0.0442278,4803
periodo smart, fill random,4803,0.0001186,4803
periodo naive, fill with period,96,0.0012684,4803
periodo smart, fill with period,96,8.505e-05,4803
periodo naive, fill random,5112,0.0489576,5114
periodo smart, fill random,5112,9.945e-05,5114
periodo naive, fill with period,96,0.0006966,5114
periodo smart, fill with period,96,6.73333e-05,5114
periodo naive, fill random,5446,0.0395105,5446
periodo smart, fill random,5446,7.635e-05,5446
periodo naive, fill with period,98,0.00065355,5446
periodo smart, fill with period,98,5.21e-05,5446
periodo naive, fill random,5795,0.052046,5798
periodo smart, fill random,5795,9.915e-05,5798
periodo naive, fill with period,98,0.0012912,5798
periodo smart, fill with period,98,5.51e-05,5798
periodo naive, fill random,6171,0.0881074,6174
periodo smart, fill random,6171,0.0001138,6174
periodo naive, fill with period,6,7.33577e-07,6
periodo smart, fill with period,6,8.73913e-07,6
periodo naive, fill random,6574,0.0886199,6574
periodo smart, fill random,6574,0.000118867,6574
periodo naive, fill with period,98,0.0012841,6574
periodo smart, fill with period,98,5.955e-05,6574
periodo naive, fill random,6996,0.135784,7000
periodo smart, fill random,6996,0.00010785,7000
periodo naive, fill with period,96,0.0011485,7000
periodo smart, fill with period,96,7.19e-05,7000
periodo naive, fill random,7453,0.0859524,7454
periodo smart, fill random,7453,0.0001566,7454
periodo naive, fill with period,96,0.00157005,7454
periodo smart, fill with period,96,0.00011355,7454
periodo naive, fill random,7937,0.0892261,7937
periodo smart, fill random,7937,0.0001181,7937
periodo naive, fill with period,97,0.001316,7937
periodo smart, fill with period,97,7.76e-05,7937
periodo naive, fill random,8451,0.0936063,8451
periodo smart, fill random,8451,0.00011515,8451
periodo naive, fill with period,77,0.00043145,77
periodo smart, fill with period,77,1.15333e-05,77
periodo naive, fill random,8997,0.0725407,8998
periodo smart, fill random,8997,0.0001757,8998
periodo naive, fill with period,98,0.00182625,8998
periodo smart, fill with period,98,8.45e-05,8998
periodo naive, fill random,9580,0.199599,9581
periodo smart, fill random,9580,0.00022765,9581
periodo naive, fill with period,10,5.63944e-07,10
periodo smart, fill with period,10,1.62661e-06,10
periodo naive, fill random,10200,0.22256,10202
periodo smart, fill random,10200,0.00014055,10202
periodo naive, fill with period,11,3.98016e-07,11
periodo smart, fill with period,11,1.01364e-06,11
periodo naive, fill random,10863,0.214653,10863
periodo smart, fill random,10863,0.0001774,10863
periodo naive, fill with period,98,0.0027135,10863
periodo smart, fill with period,98,0.0001482,10863
periodo naive, fill random,11567,0.182661,11567
periodo smart, fill random,11567,0.000162,11567
periodo naive, fill with period,98,0.0018779,11567
periodo smart, fill with period,98,0.0002215,11567
periodo naive, fill random,12315,0.18682,12316
periodo smart, fill random,12315,0.0001792,12316
periodo naive, fill with period,61,0.0005849,61
periodo smart, fill with period,61,1.76333e-05,61
periodo naive, fill random,13114,0.19349,13114
periodo smart, fill random,13114,0.00027395,13114
periodo naive, fill with period,98,0.00353955,13114
periodo smart, fill with period,98,0.0001535,13114
periodo naive, fill random,13964,0.380638,13964
periodo smart, fill random,13964,0.00013385,13964
periodo naive, fill with period,97,0.0017252,13964
periodo smart, fill with period,97,9.295e-05,13964
periodo naive, fill random,14867,0.270735,14868
periodo smart, fill random,14867,0.00022825,14868
periodo naive, fill with period,7,3.7048e-07,7
periodo smart, fill with period,7,6.2875e-07,7
periodo naive, fill random,15832,0.43535,15832
periodo smart, fill random,15832,0.0002767,15832
periodo naive, fill with period,98,0.0041397,15832
periodo smart, fill with period,98,0.00026875,15832
periodo naive, fill random,16855,0.427417,16857
periodo smart, fill random,16855,0.00035775,16857
periodo naive, fill with period,10,5.58889e-07,10
periodo smart, fill with period,10,1.45072e-06,10
periodo naive, fill random,17950,0.47431,17950
periodo smart, fill random,17950,0.0003419,17950
