label,string,result,time,size
periodo smart, fill random,3781,4.35667e-05,3781
periodo naive, fill with period,11,5.855e-05,3781
periodo smart, fill with period,11,4.01667e-05,3781
periodo naive, fill random,3932,0.0153732,3932
periodo smart, fill random,3932,5.0675e-05,3932
periodo naive, fill with period,4,3.75667e-05,3932
periodo smart, fill with period,4,3.2125e-05,3932
periodo naive, fill random,4089,0.0156896,4089
periodo smart, fill random,4089,3.335e-05,4089
periodo naive, fill with period,2,2.775e-05,4089
periodo smart, fill with period,2,3.1525e-05,4089
periodo naive, fill random,4252,0.0159778,4252
periodo smart, fill random,4252,3.425e-05,4252
periodo naive, fill with period,8,5.68333e-05,4252
periodo smart, fill with period,8,3.21e-05,4252
periodo naive, fill random,4421,0.016113,4421
periodo smart, fill random,4421,3.4775e-05,4421
periodo naive, fill with period,12,5.47e-05,4421
periodo smart, fill with period,12,3.5475e-05,4421
periodo naive, fill random,4598,0.0176354,4598
periodo smart, fill random,4598,5.26667e-05,4598
periodo naive, fill with period,7,5.65667e-05,4598
periodo smart, fill with period,7,4.49333e-05,4598
periodo naive, fill random,4781,0.0168825,4781
periodo smart, fill random,4781,3.63e-05,4781
periodo naive, fill with period,21,8.42e-05,4781
periodo smart, fill with period,21,3.395e-05,4781
periodo naive, fill random,4972,0.0172324,4972
periodo smart, fill random,4972,3.705e-05,4972
periodo naive, fill with period,7,4.75e-05,4972
periodo smart, fill with period,7,3.4725e-05,4972
periodo naive, fill random,5170,0.0171168,5170
periodo smart, fill random,5170,3.38e-05,5170
periodo naive, fill with period,15,6.125e-05,5170
periodo smart, fill with period,15,3.5325e-05,5170
periodo naive, fill random,5377,0.0182546,5377
periodo smart, fill random,5377,3.41e-05,5377
periodo naive, fill with period,1,2.522e-05,5377
periodo smart, fill with period,1,3.605e-05,5377
periodo naive, fill random,5591,0.0173369,5591
periodo smart, fill random,5591,3.51667e-05,5591
periodo naive, fill with period,5,3.75667e-05,5591
periodo smart, fill with period,5,3.6825e-05,5591
periodo naive, fill random,5814,0.0178758,5814
periodo smart, fill random,5814,4.1e-05,5814
periodo naive, fill with period,9,5.32333e-05,5814
periodo smart, fill with period,9,3.34667e-05,5814
periodo naive, fill random,6046,0.0177436,6046
periodo smart, fill random,6046,5.285e-05,6046
periodo naive, fill with period,6,2.422e-05,6046
periodo smart, fill with period,6,3.45667e-05,6046
periodo naive, fill random,6288,0.0355191,6288
periodo smart, fill random,6288,3.84e-05,6288
periodo naive, fill with period,3,3.68333e-05,6288
periodo smart, fill with period,3,3.54e-05,6288
periodo naive, fill random,6538,0.036347,6538
periodo smart, fill random,6538,3.92333e-05,6538
periodo naive, fill with period,19,0.00011325,6538
periodo smart, fill with period,19,3.62667e-05,6538
periodo naive, fill random,6798,0.036852,6799
periodo smart, fill random,6798,4.03667e-05,6799
periodo naive, fill with period,10,6.565e-05,6799
periodo smart, fill with period,10,4.07667e-05,6799
periodo naive, fill random,7071,0.0382465,7071
periodo smart, fill random,7071,4.39333e-05,7071
periodo naive, fill with period,1,2.6675e-05,7071
periodo smart, fill with period,1,4.07667e-05,7071
periodo naive, fill random,7353,0.0396326,7353
periodo smart, fill random,7353,5.045e-05,7353
periodo naive, fill with period,15,0.000172,7353
periodo smart, fill with period,15,6.60333e-05,7353
periodo naive, fill random,7646,0.0330103,7646
periodo smart, fill random,7646,4.8e-05,7646
periodo naive, fill with period,12,6.83e-05,7646
periodo smart, fill with period,12,4.48667e-05,7646
periodo naive, fill random,7951,0.0333786,7951
periodo smart, fill random,7951,5.23333e-05,7951
periodo naive, fill with period,7,5.05e-05,7951
periodo smart, fill with period,7,5.59333e-05,7951
periodo naive, fill random,8268,0.0349051,8268
periodo smart, fill random,8268,5.035e-05,8268
periodo naive, fill with period,23,0.0002199,8268
periodo smart, fill with period,23,4.91e-05,8268
periodo naive, fill random,8598,0.0727836,8598
periodo smart, fill random,8598,6.22e-05,8598
periodo naive, fill with period,3,5.65667e-05,8598
periodo smart, fill with period,3,5.01667e-05,8598
periodo naive, fill random,8941,0.0834215,8941
periodo smart, fill random,8941,5.51333e-05,8941
periodo naive, fill with period,6,6.97e-05,8941
periodo smart, fill with period,6,5.14e-05,8941
periodo naive, fill random,9298,0.0844908,9298
periodo smart, fill random,9298,5.66e-05,9298
periodo naive, fill with period,20,0.00019505,9298
periodo smart, fill with period,20,5.26333e-05,9298
periodo naive, fill random,9668,0.0880191,9669
periodo smart, fill random,9668,5.82e-05,9669
periodo naive, fill with period,5,6.14e-05,9669
periodo smart, fill with period,5,5.39333e-05,9669
periodo naive, fill random,10055,0.0765994,10055
periodo smart, fill random,10055,5.145e-05,10055
periodo naive, fill with period,21,0.000183,10055
periodo smart, fill with period,21,6.41333e-05,10055
periodo naive, fill random,10456,0.0784618,10456
periodo smart, fill random,10456,5.295e-05,10456
periodo naive, fill with period,19,0.00016715,10456
periodo smart, fill with period,19,6.56667e-05,10456
periodo naive, fill random,10873,0.0810106,10873
periodo smart, fill random,10873,5.415e-05,10873
periodo naive, fill with period,5,6.32e-05,10873
periodo smart, fill with period,5,5.05e-05,10873
periodo naive, fill random,11307,0.0832594,11307
periodo smart, fill random,11307,5.565e-05,11307
periodo naive, fill with period,4,5.66e-05,11307
periodo smart, fill with period,4,5.18e-05,11307
periodo naive, fill random,11758,0.0890514,11758
periodo smart, fill random,11758,5.695e-05,11758
periodo naive, fill with period,24,0.00020025,11758
periodo smart, fill with period,24,5.31e-05,11758
periodo naive, fill random,12227,0.0876544,12227
periodo smart, fill random,12227,5.83e-05,12227
periodo naive, fill with period,17,0.000149,12227
periodo smart, fill with period,17,5.44e-05,12227
periodo naive, fill random,12715,0.0904333,12715
periodo smart, fill random,12715,6.01e-05,12715
periodo naive, fill with period,6,7.695e-05,12715
periodo smart, fill with period,6,5.585e-05,12715
periodo naive, fill random,13222,0.0926764,13222
periodo smart, fill random,13222,7.61e-05,13222
periodo naive, fill with period,23,0.00018895,13222
periodo smart, fill with period,23,5.73e-05,13222
periodo naive, fill random,13750,0.0680893,13750
periodo smart, fill random,13750,8.67e-05,13750
periodo naive, fill with period,5,0.0001006,13750
periodo smart, fill with period,5,7.07e-05,13750
periodo naive, fill random,14298,0.182742,14298
periodo smart, fill random,14298,0.00012275,14298
periodo naive, fill with period,8,0.00017865,14298
periodo smart, fill with period,8,7.81e-05,14298
periodo naive, fill random,14869,0.187054,14869
periodo smart, fill random,14869,7.845e-05,14869
periodo naive, fill with period,20,0.0002862,14869
periodo smart, fill with period,20,7.36e-05,14869
periodo naive, fill random,15462,0.1953,15462
periodo smart, fill random,15462,8.01e-05,15462
periodo naive, fill with period,18,0.00025875,15462
periodo smart, fill with period,18,7.525e-05,15462
periodo naive, fill random,16079,0.205558,16079
periodo smart, fill random,16079,0.00011395,16079
periodo naive, fill with period,8,0.00014325,16079
periodo smart, fill with period,8,7.685e-05,16079
periodo naive, fill random,16720,0.202693,16720
periodo smart, fill random,16720,8.4e-05,16720
periodo naive, fill with period,18,0.0002532,16720
periodo smart, fill with period,18,7.855e-05,16720
periodo naive, fill random,17387,0.205622,17387
periodo smart, fill random,17387,8.6e-05,17387
periodo naive, fill with period,20,0.0002731,17387
periodo smart, fill with period,20,8.03e-05,17387
periodo naive, fill random,18080,0.208816,18081
periodo smart, fill random,18080,8.795e-05,18081
periodo naive, fill with period,15,0.00021285,18081
periodo smart, fill with period,15,8.21e-05,18081
periodo naive, fill random,18803,0.213251,18803
periodo smart, fill random,18803,0.00010825,18803
periodo naive, fill with period,1,6.065e-05,18803
periodo smart, fill with period,1,9.84e-05,18803
periodo naive, fill random,19553,0.217002,19553
periodo smart, fill random,19553,9.225e-05,19553
periodo naive, fill with period,19,0.00025105,19553
periodo smart, fill with period,19,8.59e-05,19553
periodo naive, fill random,20333,0.161267,20333
periodo smart, fill random,20333,0.00013085,20333
periodo naive, fill with period,20,0.00043485,20333
periodo smart, fill with period,20,0.0001048,20333
periodo naive, fill random,21144,0.409462,21144
periodo smart, fill random,21144,0.00011355,21144
periodo naive, fill with period,21,0.00044675,21144
periodo smart, fill with period,21,0.0001066,21144
periodo naive, fill random,21988,0.408218,21988
periodo smart, fill random,21988,0.000116,21988
periodo naive, fill with period,12,0.0002754,21988
periodo smart, fill with period,12,0.00010875,21988
periodo naive, fill random,22865,0.424447,22865
periodo smart, fill random,22865,0.0001183,22865
periodo naive, fill with period,16,0.00034295,22865
periodo smart, fill with period,16,0.0001107,22865
periodo naive, fill random,23777,0.457653,23777
periodo smart, fill random,23777,0.000211,23777
periodo naive, fill with period,19,0.0005273,23777
periodo smart, fill with period,19,0.00011295,23777
periodo naive, fill random,24726,0.459102,24726
periodo smart, fill random,24726,0.000123,24726
periodo naive, fill with period,1,7.715e-05,24726
periodo smart, fill with period,1,0.0001151,24726
periodo naive, fill random,25712,0.455736,25712
periodo smart, fill random,25712,0.00012595,25712
periodo naive, fill with period,23,0.00044095,25712
periodo smart, fill with period,23,0.0001174,25712
